x,y,height
1.969,-0.230,-0.024
1.924,-0.140,-0.024
1.834,0.039,-0.024
1.789,0.128,-0.019
1.700,0.307,-0.019
1.655,0.396,-0.031
1.565,0.575,-0.031
1.520,0.664,-0.025
1.431,0.843,-0.025
1.386,0.932,-0.025
1.296,1.111,-0.021
1.274,1.156,-0.021
1.184,1.335,-0.025
1.139,1.424,-0.025
1.095,1.513,-0.029
1.005,1.692,-0.030
0.922,1.858,-0.029
0.833,2.035,-0.029
0.788,2.124,-0.022
0.708,2.284,-0.022
0.668,2.365,-0.027
0.624,2.452,-0.027
0.534,2.631,-0.027
0.489,2.720,-0.023
0.445,2.810,-0.023
0.355,2.988,-0.019
0.275,3.149,-0.018
0.235,3.229,-0.021
0.191,3.316,-0.021
0.110,3.476,-0.020
0.073,3.551,-0.019
0.036,3.625,-0.019
-0.039,3.774,-0.031
-0.058,3.812,-0.031
-0.095,3.886,-0.032
-0.132,3.961,-0.032
